,,,,,,,,,
,Task Name,Porcentaje,Tiempo,,,Valores WBS,,,
30,Logica,"0,12","0,588708",,,,,,
20,Test,"0,08","0,392472",,,,,,
10,Release,"0,04","0,196236",,,,,,
,US-1,"1,00","4,9059",,,,,,
25,Análisis,"0,25","1,226475",,,,,,
15,Vista,"0,15","0,735885",,,,,,
25,Logica,"0,25","1,226475",,,,,,
20,Test,"0,20","0,98118",,,,,,
15,Release,"0,15","0,735885",,,,,,
,US-5,"0,60","2,94354",,,,,,
20,Análisis,"0,12","0,588708",,,,,,
20,Vista,"0,12","0,588708",,,,,,
25,Logica,"0,15","0,735885",,,,,,
20,Test,"0,12","0,588708",,,,,,
15,Release,"0,09","0,441531",,,,,,
,US-11,"0,40","1,96",,,,,,
15,Análisis,"0,09","0,441531",,,,,,
25,Vista,"0,15","0,735885",,,,,,
30,Logica,"0,18","0,883062",,,,,,
20,Test,"0,12","0,588708",,,,,,
10,Release,"0,06","0,294354",,,,,,
,US-12,"0,60","2,94",,,,,,
15,Análisis,"0,06","0,294354",,,,,,
25,Vista,"0,10","0,49059",,,,,,
30,Logica,"0,12","0,588708",,,,,,
20,Test,"0,08","0,392472",,,,,,
10,Release,"0,04","0,196236",,,,,,
,US-24,"0,60","2,94354",,,,,,
30,Análisis,"0,18","0,883062",,,,,,
15,Vista,"0,09","0,441531",,,,,,
25,Logica,"0,15","0,735885",,,,,,
15,Test,"0,09","0,441531",,,,,,
15,Release,"0,09","0,441531",,,,,,
,US-21,"0,60","2,94354",,,,,,
20,Análisis,"0,12","0,588708",,,,,,
15,Vista,"0,09","0,441531",,,,,,
20,Logica,"0,12","0,588708",,,,,,
25,Test,"0,15","0,735885",,,,,,
20,Release,"0,12","0,588708",,,,,,
,US-6,"0,60","2,94",,,,,,
20,Análisis,"0,12","0,588708",,,,,,
20,Vista,"0,12","0,588708",,,,,,
25,Logica,"0,15","0,735885",,,,,,
20,Test,"0,12","0,588708",,,,,,
15,Release,"0,09","0,441531",,,,,,
,US-19,"0,60","2,94",,,,,,
15,Análisis,"0,06","0,29",,,,,,
25,Vista,"0,10","0,49",,,,,,
30,Logica,"0,12","0,59",,,,,,
20,Test,"0,08","0,39",,,,,,
10,Release,"0,04","0,20",,,,,,
,US-40,"0,60","2,94",,,,,,
15,Análisis,"0,06","0,29",,,,,,
25,Vista,"0,10","0,49",,,,,,
30,Logica,"0,12","0,59",,,,,,
20,Test,"0,08","0,39",,,,,,
10,Release,"0,04","0,20",,,,,,
,US-43,"0,60","2,94",,,,,,
15,Análisis,"0,06","0,29",,,,,,
25,Vista,"0,10","0,49",,,,,,
30,Logica,"0,12","0,59",,,,,,
20,Test,"0,08","0,39",,,,,,
10,Release,"0,04","0,20",,,,,,
,US-44,"0,60","2,94",,,,,,
15,Análisis,"0,06","0,29",,,,,,
25,Vista,"0,10","0,49",,,,,,
30,Logica,"0,12","0,59",,,,,,
20,Test,"0,08","0,39",,,,,,
10,Release,"0,04","0,20",,,,,,
,US-46,"0,40","1,96",,,,,,
15,Análisis,"0,06","0,29",,,,,,
25,Vista,"0,10","0,49",,,,,,
30,Logica,"0,12","0,59",,,,,,
20,Test,"0,08","0,39",,,,,,
10,Release,"0,04","0,20",,,,,,
,US-47,"0,60","2,94",,,,,,
15,Análisis,"0,06","0,29",,,,,,
25,Vista,"0,10","0,49",,,,,,
30,Logica,"0,12","0,59",,,,,,
20,Test,"0,08","0,39",,,,,,
10,Release,"0,04","0,20",,,,,,
,US-14,"0,40","1,96",,Total,"100,00",,,
15,Análisis,"0,06","0,294354",,,,,,
25,Vista,"0,10","0,49059",,,,,,
30,Logica,"0,12","0,588708",,,,,,
20,Test,"0,08","0,392472",,,,,,
10,Release,"0,04","0,196236",,,,,,
,Transición,35,"171,7065",,,,,,
,Configurar Servidor,"3,50%",6,,,,,,
,Dominio,"1,15%",2,,,,,,
,Pruebas de sistema,"3,00%",6,,,,,,
,Pruebas usabilidad 2,"2,30%",4,,,,,,
,Pruebas usabilidad 3,"2,30%",4,,,,,,
,Capacitaciones,"17,50%","85,85",,,,,,
,Despliegue Iteración 2,"3,50%",6,,,,,,
,Despliegue Iteración 3,"1,75%",3,,,,,,
